Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Group,Major Name,Minor Name,Broad Name,Description,Sample of reported job titles
15-0000.00,15-1200.00,15-1290.00,15-1299.03,Document Management Specialists,Role,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,"Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.",
15-0000.00,15-1200.00,15-1290.00,15-1299.04,Penetration Testers,Role,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,
15-0000.00,15-1200.00,15-1290.00,15-1299.05,Information Security Engineers,Role,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,"Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.",
15-0000.00,15-1200.00,15-1290.00,15-1299.06,Digital Forensics Analysts,Role,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",
15-0000.00,15-1200.00,15-1290.00,15-1299.07,Blockchain Engineers,Role,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,"Maintain and support distributed and decentralized blockchain-based networks or block-chain applications such as cryptocurrency exchange, payment processing, document sharing, and digital voting. Design and deploy secure block-chain design patterns and solutions over geographically distributed networks using advanced technologies. May assist with infrastructure setup and testing for application transparency and security.",
15-0000.00,15-1200.00,15-1290.00,15-1299.08,Computer Systems Engineers/Architects,Role,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,"Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.",
15-0000.00,15-1200.00,15-1290.00,15-1299.09,Information Technology Project Managers,Role,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",
15-0000.00,15-2000.00,15-2000.00,15-2000.00,Mathematical Science Occupations,Main,Computer and Mathematical Occupations,Minor Group,Minor Group,"Mathematical Science Occupations include a range of roles that involve advanced mathematical and statistical analysis, modeling, research, and problem-solving. This category includes positions such as mathematicians, statisticians, operations research analysts, actuaries, and data scientists, among others.",
15-0000.00,15-2000.00,15-2010.00,15-2010.00,Actuaries,Titled,Computer and Mathematical Occupations,Mathematical Science Occupations,Broad Group,"Analyze statistical data to estimate future risks and liabilities, applying mathematics, statistics, and financial theory to insurance, pensions, and related fields.",
15-0000.00,15-2000.00,15-2010.00,15-2011.00,Actuaries,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",
15-0000.00,15-2000.00,15-2020.00,15-2020.00,Mathematicians,Titled,Computer and Mathematical Occupations,Mathematical Science Occupations,Broad Group,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",
15-0000.00,15-2000.00,15-2020.00,15-2021.00,Mathematicians,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",
15-0000.00,15-2000.00,15-2030.00,15-2030.00,Operations Research Analysts,Titled,Computer and Mathematical Occupations,Mathematical Science Occupations,Broad Group,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",
15-0000.00,15-2000.00,15-2030.00,15-2031.00,Operations Research Analysts,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decision making, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, service, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",
15-0000.00,15-2000.00,15-2040.00,15-2040.00,Statisticians,Titled,Computer and Mathematical Occupations,Mathematical Science Occupations,Broad Group,"Develop or apply mathematical or statistical methods to collect, organize, interpret, and summarize numerical data to provide usable information and identify trends.",
15-0000.00,15-2000.00,15-2040.00,15-2041.00,Statisticians,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as bio-statistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.",
15-0000.00,15-2000.00,15-2040.00,15-2041.01,Biostatisticians,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Statisticians,Develop and apply biostatistical theory and methods to the study of life sciences.,
15-0000.00,15-2000.00,15-2040.00,15-2041.02,Clinical Data Managers,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Statisticians,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",
15-0000.00,15-2000.00,15-2050.00,15-2050.00,Data Scientists,Titled,Computer and Mathematical Occupations,Mathematical Science Occupations,Broad Group,Data Scientists is a Broad Occupation level code of the “Computer and Mathematical Occupations” Major Occupation Category.,
15-0000.00,15-2000.00,15-2050.00,15-2051.00,Data Scientists,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Data Scientists,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.",
15-0000.00,15-2000.00,15-2050.00,15-2051.01,Business Intelligence Analysts,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Data Scientists,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,
15-0000.00,15-2000.00,15-2090.00,15-2090.00,Miscellaneous Mathematical Science Occupations,Titled,Computer and Mathematical Occupations,Mathematical Science Occupations,Broad Group,"Encompass mathematical science roles not otherwise classified, often involving advanced quantitative techniques or specialized applications in data and analytics.",
15-0000.00,15-2000.00,15-2090.00,15-2091.00,Mathematical Technicians,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Miscellaneous Mathematical Science Occupations,"Apply standardized mathematical formulas, principles, and methodology to technological problems in engineering and physical sciences in relation to specific industrial and research objectives, processes, equipment, and products.",
15-0000.00,15-2000.00,15-2090.00,15-2099.00,"Mathematical Science Occupations, All Other",Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Miscellaneous Mathematical Science Occupations,All mathematical scientists not listed separately.,
15-0000.01,15-2000.01,15-2090.01,15-2099.01,Bioinformatics Technicians,Role,Computer and Mathematical Occupations,Mathematical Science Occupations,Miscellaneous Mathematical Science Occupations,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",
17-0000.00,17-0000.00,17-0000.00,17-0000.00,Architecture and Engineering Occupations,Major,Major Group,Major Group,Major Group,"Involves designing, planning, and building structures, systems, and technologies. Includes architects, civil engineers, mechanical engineers, and others applying scientific and mathematical principles to solve technical challenges.",
17-0000.00,17-1000.00,17-1000.00,17-1000.00,"Architects, Surveyors, and Cartographers",Main,Architecture and Engineering Occupations,Minor Group,Minor Group,"Architects, Surveyors, and Cartographers are professionals who specialize in the design and mapping of structures, land, and geographical features. This category includes occupations such as architects, landscape architects, surveyors, and cartographers.",
17-0000.00,17-1000.00,17-1010.00,17-1010.00,"Architects, Except Naval",Titled,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers",Broad Group,"Plan and design structures—such as buildings and other physical environments—while considering functionality, aesthetics, safety, and regulatory requirements.",
17-0000.00,17-1000.00,17-1010.00,17-1011.00,"Architects, Except Landscape and Naval",Role,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Architects, Except Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.",
17-0000.00,17-1000.00,17-1010.00,17-1012.00,Landscape Architects,Role,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Architects, Except Naval","Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.",
17-0000.00,17-1000.00,17-1020.00,17-1020.00,"Surveyors, Cartographers, and Photogrammetrists",Titled,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers",Broad Group,"Measure and map the Earth’s surface, establish property boundaries, and create detailed geographic data. May interpret aerial or satellite imagery for cartographic or photogrammetric purposes.",
17-0000.00,17-1000.00,17-1020.00,17-1021.00,Cartographers and Photogrammetrists,Role,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists","Collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data. Research, study, and prepare maps and other spatial data in digital or graphic form for legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems.",
17-0000.00,17-1000.00,17-1020.00,17-1022.00,Surveyors,Role,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists","Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",
17-0000.00,17-1000.00,17-1020.00,17-1022.01,Geodetic Surveyors,Role,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists","Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.",
17-0000.00,17-2000.00,17-2000.00,17-2000.00,Engineers,Main,Architecture and Engineering Occupations,Minor Group,Minor Group,"Engineers are professionals who apply scientific and mathematical principles to design, develop, and improve various systems, structures, and technologies. This category includes a wide range of engineering occupations, such as civil engineers, mechanical engineers, electrical engineers, aerospace engineers, and chemical engineers, among others.",
17-0000.00,17-2000.00,17-2010.00,17-2010.00,Aerospace Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Design, develop, and test aircraft, spacecraft, or missiles, ensuring they meet engineering principles and regulatory requirements for performance, safety, and efficiency.",
17-0000.00,17-2000.00,17-2010.00,17-2011.00,Aerospace Engineers,Role,Architecture and Engineering Occupations,Engineers,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",
17-0000.00,17-2000.00,17-2020.00,17-2020.00,Agricultural Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Apply engineering and biological principles to solve agricultural problems, such as designing improved machinery, irrigation systems, or pollution controls for farm operations.",
17-0000.00,17-2000.00,17-2020.00,17-2021.00,Agricultural Engineers,Role,Architecture and Engineering Occupations,Engineers,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",
17-0000.00,17-2000.00,17-2030.00,17-2030.00,Biomedical Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Combine knowledge of engineering, biology, and biomechanics to design and improve medical devices and procedures that enhance healthcare.",
17-0000.00,17-2000.00,17-2030.00,17-2031.00,Biomedical Engineers,Role,Architecture and Engineering Occupations,Engineers,Biomedical Engineers,"Apply knowledge of engineering, biology, and biomechanical principles to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",
17-0000.00,17-2000.00,17-2040.00,17-2040.00,Chemical Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Design and oversee processes for manufacturing chemicals and products, such as fuels, pharmaceuticals, and plastics, applying chemistry, physics, and engineering principles.",
17-0000.00,17-2000.00,17-2040.00,17-2041.00,Chemical Engineers,Role,Architecture and Engineering Occupations,Engineers,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",
17-0000.00,17-2000.00,17-2050.00,17-2050.00,Civil Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Plan, design, and supervise construction and maintenance of infrastructure such as roads, bridges, dams, water treatment systems, and other public works projects.",
17-0000.00,17-2000.00,17-2050.00,17-2051.00,Civil Engineers,Role,Architecture and Engineering Occupations,Engineers,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures, and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",
17-0000.00,17-2000.00,17-2050.00,17-2051.01,Transportation Engineers,Role,Architecture and Engineering Occupations,Engineers,Civil Engineers,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",
17-0000.00,17-2000.00,17-2060.00,17-2060.00,Computer Hardware Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Research, design, develop, and test computer hardware systems and components, ensuring seamless integration with software and user needs.",
17-0000.00,17-2000.00,17-2060.00,17-2061.00,Computer Hardware Engineers,Role,Architecture and Engineering Occupations,Engineers,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",
17-0000.00,17-2000.00,17-2070.00,17-2070.00,Electrical and Electronics Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Design, develop, and evaluate electronic or electrical systems and components, ranging from power generation equipment to consumer electronics and communications systems.",
17-0000.00,17-2000.00,17-2070.00,17-2071.00,Electrical Engineers,Role,Architecture and Engineering Occupations,Engineers,Electrical and Electronics Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",
17-0000.00,17-2000.00,17-2070.00,17-2072.00,"Electronics Engineers, Except Computer",Role,Architecture and Engineering Occupations,Engineers,Electrical and Electronics Engineers,"Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",
17-0000.00,17-2000.00,17-2070.00,17-2072.01,Radio Frequency Identification Device Specialists,Role,Architecture and Engineering Occupations,Engineers,Electrical and Electronics Engineers,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,
17-0000.00,17-2000.00,17-2080.00,17-2080.00,Environmental Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Develop solutions to environmental problems using engineering, soil science, biology, and chemistry. Design systems to manage water, air, or soil quality, and reduce environmental impact.",
17-0000.00,17-2000.00,17-2080.00,17-2081.00,Environmental Engineers,Role,Architecture and Engineering Occupations,Engineers,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",
17-0000.00,17-2000.00,17-2080.00,17-2081.01,Water/Wastewater Engineers,Role,Architecture and Engineering Occupations,Engineers,Environmental Engineers,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",
17-0000.00,17-2000.00,17-2110.00,17-2110.00,"Industrial Engineers, Including Health and Safety",Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Design, optimize, and evaluate integrated systems for managing industrial production processes, often emphasizing efficiency, cost reduction, and worker safety.",
17-0000.00,17-2000.00,17-2110.00,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Role,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",
17-0000.00,17-2000.00,17-2110.00,17-2111.01,Industrial Safety and Health Engineers,Role,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety","Plan, implement, and coordinate safety programs, requiring application of engineering principles and technology, to prevent or correct unsafe environmental working conditions.",
17-0000.00,17-2000.00,17-2110.00,17-2111.02,Fire-Prevention and Protection Engineers,Role,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety","Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",
17-0000.00,17-2000.00,17-2110.00,17-2111.03,Product Safety Engineers,Role,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety",Develop and conduct tests to evaluate product safety levels and recommend measures to reduce or eliminate hazards.,
17-0000.00,17-2000.00,17-2110.00,17-2112.00,Industrial Engineers,Role,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety","Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",
17-0000.00,17-2000.00,17-2110.00,17-2112.01,Human Factors Engineers and Ergonomists,Role,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety","Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",
17-0000.01,17-2000.01,17-2110.01,17-2112.02,Validation Engineers,Role,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety","Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",
17-0000.02,17-2000.02,17-2110.02,17-2112.03,Manufacturing Engineers,Role,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety","Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",
17-0000.00,17-2000.00,17-2120.00,17-2120.00,Marine Engineers and Naval Architects,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Design, develop, and evaluate the construction, operation, and maintenance of ships, submarines, and other marine vessels. Analyze hulls, propulsion systems, and other components.",
17-0000.00,17-2000.00,17-2120.00,17-2121.00,Marine Engineers and Naval Architects,Role,Architecture and Engineering Occupations,Engineers,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",
17-0000.00,17-2000.00,17-2120.00,17-2121.01,Marine Engineers,Role,Architecture and Engineering Occupations,Engineers,Marine Engineers and Naval Architects,"Design, develop, and take responsibility for the installation of ship machinery and related equipment including propulsion machines and power supply systems.",
17-0000.00,17-2000.00,17-2120.00,17-2121.02,Marine Architects,Role,Architecture and Engineering Occupations,Engineers,Marine Engineers and Naval Architects,"Design and oversee construction and repair of marine craft and floating structures such as ships, barges, tugs, dredges, submarines, torpedoes, floats, and buoys. May confer with marine engineers.",
17-0000.00,17-2000.00,17-2130.00,17-2130.00,Materials Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Evaluate and develop materials for specific uses. Study and create new materials—like metals, polymers, and composites—to meet specialized performance requirements in products or systems.",
17-0000.00,17-2000.00,17-2130.00,17-2131.00,Materials Engineers,Role,Architecture and Engineering Occupations,Engineers,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",
17-0000.00,17-2000.00,17-2140.00,17-2140.00,Mechanical Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Research, design, develop, and test mechanical devices and systems, including engines, machines, and tools, focusing on improving efficiency and safety.",
17-0000.00,17-2000.00,17-2140.00,17-2141.00,Mechanical Engineers,Role,Architecture and Engineering Occupations,Engineers,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",
17-0000.00,17-2000.00,17-2140.00,17-2141.01,Fuel Cell Engineers,Role,Architecture and Engineering Occupations,Engineers,Mechanical Engineers,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.",
17-0000.00,17-2000.00,17-2140.00,17-2141.02,Automotive Engineers,Role,Architecture and Engineering Occupations,Engineers,Mechanical Engineers,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",
17-0000.00,17-2000.00,17-2150.00,17-2150.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Plan and oversee mining operations for safe, efficient extraction of minerals. Evaluate potential mine locations, design extraction processes, and implement safety measures.",
17-0000.00,17-2000.00,17-2150.00,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Role,Architecture and Engineering Occupations,Engineers,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct sub-surface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",
17-0000.00,17-2000.00,17-2160.00,17-2160.00,Nuclear Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Research and apply nuclear science principles to problems involving nuclear energy, radiation, nuclear waste disposal, and related systems.",
17-0000.00,17-2000.00,17-2160.00,17-2161.00,Nuclear Engineers,Role,Architecture and Engineering Occupations,Engineers,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.",
17-0000.00,17-2000.00,17-2170.00,17-2170.00,Petroleum Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,Design methods for extracting oil and gas from deposits below the Earth’s surface. Oversee drilling and production operations and develop new techniques to enhance recovery.,
17-0000.00,17-2000.00,17-2170.00,17-2171.00,Petroleum Engineers,Role,Architecture and Engineering Occupations,Engineers,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,
17-0000.00,17-2000.00,17-2190.00,17-2190.00,Miscellaneous Engineers,Titled,Architecture and Engineering Occupations,Engineers,Broad Group,"Perform specialized engineering duties not classified under other engineering roles, often in cutting-edge or highly specialized areas.",
17-0000.00,17-2000.00,17-2190.00,17-2199.00,"Engineers, All Other",Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,All engineers not listed separately.,
17-0000.00,17-2000.00,17-2190.00,17-2199.01,Biochemical Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Develop usable, tangible products, using knowledge of biology, chemistry, or engineering. Solve problems related to materials, systems, or processes that interact with humans, plants, animals, microorganisms, or biological materials.",
17-0000.00,17-2000.00,17-2190.00,17-2199.02,Validation Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",
17-0000.00,17-2000.00,17-2190.00,17-2199.03,Energy Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.",
17-0000.00,17-2000.00,17-2190.00,17-2199.04,Manufacturing Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",
17-0000.00,17-2000.00,17-2190.00,17-2199.05,Mechatronics Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.",
17-0000.00,17-2000.00,17-2190.00,17-2199.06,Microsystems Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Research, design, develop, or test microelectromechanical systems (MEMS) devices.",
17-0000.00,17-2000.00,17-2190.00,17-2199.07,Photonics Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.",
17-0000.00,17-2000.00,17-2190.00,17-2199.08,Robotics Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Research, design, develop, or test robotic applications.",
17-0000.00,17-2000.00,17-2190.00,17-2199.09,Nanosystems Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.",
17-0000.00,17-2000.00,17-2190.00,17-2199.10,Wind Energy Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,Design underground or overhead wind farm collector systems and prepare and develop site specifications.,
17-0000.00,17-2000.00,17-2190.00,17-2199.11,Solar Energy Systems Engineers,Role,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.",
17-0000.00,17-3000.00,17-3000.00,17-3000.00,"Drafters, Engineering Technicians, and Mapping Technicians",Main,Architecture and Engineering Occupations,Minor Group,Minor Group,"Drafters, Engineering Technicians, and Mapping Technicians provide technical support and assist engineers, architects, and surveyors in various stages of design, development, and mapping processes.",
17-0000.00,17-3000.00,17-3010.00,17-3010.00,Drafters,Titled,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Broad Group,"Create detailed technical drawings and plans for buildings, structures, or products using computer-aided design (CAD) software.",
17-0000.00,17-3000.00,17-3010.00,17-3011.00,Architectural and Civil Drafters,Role,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.",
17-0000.00,17-3000.00,17-3010.00,17-3011.01,Architectural Drafters,Role,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters,Prepare detailed drawings of architectural designs and plans for buildings and structures according to specifications provided by architect.,
17-0000.00,17-3000.00,17-3010.00,17-3011.02,Civil Drafters,Role,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters,"Prepare drawings and topographical and relief maps used in civil engineering projects, such as highways, bridges, pipelines, flood control projects, and water and sewerage control systems.",
